eje_x,eje_y,eje_z,timestamp
1225991.0,1009013.0,0.0,1681201254632
1226021.0,1010355.0,0.0,1681201254680
1225299.0,1008941.0,0.0,1681201254729
1223905.0,1007233.0,0.0,1681201254777
1222683.0,1005889.0,0.0,1681201254825
1220119.0,1004593.0,0.0,1681201254874
1220485.0,1004145.0,0.0,1681201254922
1220781.0,1005077.0,0.0,1681201254971
1221269.0,1005397.0,0.0,1681201255019
1222695.0,1006795.0,0.0,1681201255067
1225329.0,1008959.0,0.0,1681201255116
1228067.0,1011177.0,0.0,1681201255164
1231813.0,1013269.0,0.0,1681201255212
1234255.0,1014931.0,0.0,1681201255260
1237195.0,1017051.0,0.0,1681201255309
1237919.0,1018603.0,0.0,1681201255357
1237277.0,1018347.0,0.0,1681201255405
1234905.0,1016419.0,0.0,1681201255453
1231721.0,1013973.0,0.0,1681201255501
1228617.0,1010967.0,0.0,1681201255550
1225991.0,1008967.0,0.0,1681201255598
1223743.0,1007387.0,0.0,1681201255646
1222215.0,1006319.0,0.0,1681201255694
1221311.0,1005699.0,0.0,1681201255743
1221167.0,1007049.0,0.0,1681201255791
1222297.0,1008995.0,0.0,1681201255839
1225869.0,1011323.0,0.0,1681201255887
1228647.0,1013579.0,0.0,1681201255935
1231151.0,1014967.0,0.0,1681201255983
1231913.0,1015343.0,0.0,1681201256032
1231903.0,1015049.0,0.0,1681201256080
1229899.0,1013461.0,0.0,1681201256128
1226907.0,1010109.0,0.0,1681201256176
1223233.0,1006621.0,0.0,1681201256225
1220161.0,1003771.0,0.0,1681201256273
1216527.0,1000603.0,0.0,1681201256321
1214369.0,998849.0,0.0,1681201256370
1214135.0,998767.0,0.0,1681201256418
1212793.0,998017.0,0.0,1681201256466
1212885.0,997917.0,0.0,1681201256514
1212335.0,997863.0,0.0,1681201256563
1213311.0,998857.0,0.0,1681201256611
1214237.0,999333.0,0.0,1681201256659
1215073.0,1000483.0,0.0,1681201256707
1216141.0,1000721.0,0.0,1681201256756
1215713.0,1001387.0,0.0,1681201256804
1215987.0,1001041.0,0.0,1681201256852
1215429.0,999415.0,0.0,1681201256900
